VentureFirm,Date,StartUp,Investment
Norwest,6/1/2015,SketchDeck,$1.7M / Seed
Norwest,2/1/2015,RiverMend Health,$60M / Venture (Lead)
Norwest,1/1/2015,Swiggy,$18.5M / Series C
Norwest,9/1/2014,TigerText,$50M / Series C (Lead)
Norwest,8/1/2014,Modsy,$3M / Seed
Norwest,6/1/2014,Attune Technologies,$10M / Series B
Norwest,5/1/2014,Bracket Computing,$46.4M / Series C
Norwest,2/1/2014,Exabeam,$25M / Series B
Norwest,2/2/2014,"Madison Reed, Inc.",$16.1M / Series C
Norwest,2/3/2014,Blue Jeans Network,$76.5M / Series E
Norwest,12/1/2015,Omada Health,$48M / Series C (Lead)
Norwest,12/1/2015,Capillary Technologies,$45M / Series C
Norwest,11/1/2015,RevX,$4M / Venture
Norwest,11/1/2015,CareCloud,$16.87M / Series B
Norwest,10/1/2015,StellaService,$15M / Series C
Norwest,10/1/2015,Adaptive Insights,$75M / Series G
Norwest,10/1/2015,ModCloth,$15M / Series C
Norwest,9/1/2015,Casper,$55M / Series B
Norwest,9/1/2015,personali,$12M / Series A
Norwest,9/1/2015,Swiggy,$16.5M / Series B
Norwest,9/1/2015,Udemy,$65M / Series D
Norwest,9/1/2015,ClearDATA,$25M / Series C
Norwest,8/1/2015,Skyward,$4.1M / Seed
Norwest,7/1/2015,Yatra,undisclosed amount /Series F
Norwest,7/1/2015,ZIRX,$30M / Series B
Norwest,6/1/2015,sulekha.com,$28.1M / Series C
Norwest,6/1/2015,Palerra Inc.,$17M / Series B
Norwest,6/1/2015,Rafter,undisclosed amount /Series E
Norwest,6/1/2015,Manthan Systems,undisclosed amount /Private Equity
Norwest,6/1/2015,Health Catalyst,$70M / Series D
Norwest,6/1/2015,iRhythm Technologies,$27.34M / Series E
Norwest,5/1/2015,HoneyBook Inc.,$22M / Series B (Lead)
Norwest,4/1/2015,Brite Semiconductor,$8M / Series C
Norwest,4/1/2015,Exablox,$16M / Series C
Norwest,4/1/2015,Dtex Systems,$15M / Series A (Lead)
Norwest,4/1/2015,Glint,$9M / Series B (Lead)
Norwest,4/1/2015,Jet,$140M / Venture
Norwest,4/1/2015,Manthan Software Services,$60M / Series D
Norwest,3/1/2015,Crossover Health Management Services,$15M / Undisclosed
Norwest,3/1/2015,Velostrata,$14M / Series A (Lead)
Norwest,3/1/2015,Ravello Systems,$28M / Series C
Norwest,3/1/2015,Elemental Technologies,$14.5M / Series D
Norwest,3/1/2015,Qubole,$13M / Series B (Lead)
Norwest,2/1/2015,Extole,$14M / Series C
Norwest,2/1/2015,Misfit Wearables,$40M / Series C
Norwest,2/1/2015,Minted,$38M / Series D (Lead)
Norwest,2/1/2015,Telcare,$32.5M / Series C (Lead)
Norwest,2/1/2015,Quikr,$60M / Series G
Norwest,1/1/2015,ZIRX,$6.4M / Series A
Norwest,1/1/2015,IFTTT,$30M / Series B (Lead)
Norwest,1/1/2015,Borqs,undisclosed amount /Series D
Norwest,12/1/2014,ClariPhy Communications,$19.74M / Venture
