Powder_Mg_vs_S_aureus,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7
0,0.589,0.589,0.589,0.589,0.589,0.589,0.589
0,0.526,0.526,0.526,0.526,0.526,0.526,0.526
0,0.517,0.517,0.517,0.517,0.517,0.517,0.517
1,0.522,0.505,0.439,0.515,0.536,0.502,0.544
1,0.536,0.487,0.402,0.534,0.467,0.512,0.562
1,0.521,0.439,0.42,0.512,0.487,0.496,0.531
2,0.512,0.403,0.398,0.523,0.434,0.456,0.516
2,0.549,0.39,0.359,0.515,0.45,0.39,0.518
2,0.504,0.432,0.334,0.545,0.38,0.401,0.545
4,0.285,0.01,0.04,0.509,0.09,0.04,0.537
4,0.297,0.023,0.001,0.49,0.16,0.034,0.516
4,0.294,0.04,0.001,0.497,0.03,0.021,0.519
8,0.238,0.03,0,0.359,0.001,0,0.446
8,0.245,0.001,0.001,0.387,0.03,0.001,0.476
8,0.249,0.001,0.001,0.405,0.002,0.004,0.44
16,0.224,0.001,0.001,0.307,0.001,0.001,0.456
16,0.227,0,0.001,0.302,0,0.003,0.326
16,0.225,0,0,0.323,0,0.001,0.392
24,0.214,0.001,0.001,0.356,0.001,0.001,0.286
24,0.013,0.001,0.001,0.303,0.002,0,0.429
24,0.185,0,0.001,0.321,0,0.001,0.374
