Agar,Treatment,Jar,Repeat No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Cellulose,Control,1,1,,,,,,,,,,,,,,,,12,,,,1,,,,,,,,,,,,,,,
Cellulose,Control,1,2,,,1,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Cellulose,Control,1,3,,1,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,,,,,,
Cellulose,Control,2,1,,,,,,,,,,,,,1,,,14,,,,1,,,,,,,,,,,,,,,
Cellulose,Control,2,2,,,,,,,,,,,,,1,,,28,,,,1,,,,,,,,,,,,,,,
Cellulose,Control,2,3,,,,,,,,,,,,,2,,,6,,,,1,,,,,,,,,,,,,,,
Cellulose,Control,3,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,2,,,,
Cellulose,Control,3,2,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
Cellulose,Control,3,3,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,
Cellulose,Control,4,1,,8,4,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,3
Cellulose,Control,4,2,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,2,,,,,,,2
Cellulose,Control,4,3,,14,,,,,,,,,,,,,,,,,8,,,,,,,,,1,,,,,,,
Cellulose,Control,5,1,,5,24,,,,,,,,,,,,,8,1,1,,,,,,,,,,,,,,,,,
Cellulose,Control,5,2,,,8,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Cellulose,Control,5,3,,4,,1,,,1,1,,,,,3,,,3,,,1,,,,,,,,,,,,,,,,
Cellulose,Control,6,1,,,1,,,,,,,,,,,,,3,,2,1,,,,,,,,,,,,,,,,
Cellulose,Control,6,2,,1,28,,,,,,,,,,9,,,,1,,,,,,,4,,,,,,,,,,1,
Cellulose,Control,6,3,,1,20,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,
Cellulose,Ampicillin,1,1,7,7,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,
Cellulose,Ampicillin,1,2,,3,,,,,,2,,,,,,8,,1,,,,,,,,,,,,,,,,,,,
Cellulose,Ampicillin,1,3,,8,,,,,,,,,,,4,,,1,2,,,,,,,,,,,,,,,,,,
Cellulose,Ampicillin,2,1,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
Cellulose,Ampicillin,2,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Cellulose,Ampicillin,2,3,,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Cellulose,Ampicillin,3,1,,1,31,,,,,,,,,,,,,,1,,,15,,,,,,,,,,,,,,,
Cellulose,Ampicillin,3,2,,,,,,,,1,,,,,,,15,,2,,2,,,,,,,,,,,,,,,,
Cellulose,Ampicillin,3,3,,,1,,,,,2,,,,,2,,,,,,1,,,,,,,,,,,,,,,,
Cellulose,Ampicillin,4,1,,1,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,
Cellulose,Ampicillin,4,2,,4,,,,,32,,,,,1,19,,,,2,,,,,,,,,,,,,,,,,,
Cellulose,Ampicillin,4,3,,,,,,,5,,,,,1,13,,,,7,,1,,,,,,,,,,,,,,,,
