"","coupon_id","title","Description","Discount","MinimumSpendAmount","OfferApplicableOn","BrandsUnderOffer","Validfor","PaymentModeOffer","TermsAndConditions"
"1","100-3-15275","Sitewide Offer: Extra Rs 100 OFF on All Products","Now install homeshop18 mobile app and Buy anything from kitchen appliances to women kurtis and electronics products to footwear for all age groups, Avail Flat Rs 100 OFF on your order now, Use the given Code at check out and avail this early bird and stunning discount, Hurry","Flat Rs 100 OFF on your","Rs. 100 OFF on your order","your order now","women kurtis and electronics","all age groups","Use the given Code at check","install homeshop18 mobile app"
"2","100-3-18005","Avail Flat 5% OFF On Mobiles","Homeshop18 Offers elephantine Flat 5% DISCOUNT on top and renowned branded mobiles in this link, Use the given homeshop18 coupon at checkout to avail this sensational offer, Minimum Purchase Value is Rs 999 and Maximum Discount is Rs 500 on every order, Hurry, Limited Period Offer","Flat 5% DISCOUNT on top and","Rs. Minimum Purchase Value is","top and renowned branded mobiles in this link","and renowned branded mobiles","","Use the given homeshop18 coupon at","Limited Period Offer"
"3","100-3-18862","Flat 62% + Extra Rs 60 OFF On Salwar Suits","Homeshop18, Online Electronics, Fashion & Home Decor Store offers Flat 62% OFF and extra Rs 60 Discount on women unstitched salwar suits (set of 3) of art crepe fabric and available in bright colours here in this link at just Rs 1139, No Code needed, Avail it today","Flat 62% OFF and extra Rs","Rs. 60 Discount on women unstitched","& Home Decor Store offers Flat 62% OFF and extra Rs 60 Discount","offers Flat 62% OFF","","",""
"4","100-3-19239","Flat 10% OFF On Fashion, Footwear & Accessories","Homeshop18 is offering corpulent discount of Flat 10% OFF on fashion, footwear, accessories and clothes etc, in this link by using the shown Promo Code at checkout, Limited Period Sale, Hurry Up","Flat 10% OFF on fashion footwear","","fashion footwear accessories and clothes etc","","","using the shown Promo","Limited Period Sale"
"5","100-4-101160","Upto 70% Off On Women&#8217;s Footwear","Upto 70% Off On Women s Footwear Of categories like sandals, shoes, boots, slippers etc, Coupon Code is not required,  Click to get the offer page.","Up 70% Off On Women s","","get the offer page."," sandals shoes boots slippers etc","","",""
"6","100-4-101630","Upto 68% Off On Power Banks","Shop and get up to 68% off on the  Power Banks on brands like Nokia, Godrej, Sony etc, Coupon Code is not required, click to get the offer page.","68% off on the","","the  Power Banks"," Nokia Godrej Sony etc","","",""
"7","100-4-114043","Upto 76% Off & Get Free Gifts on Kurtas & Pyjamas","Upto 76% Off & Get Free Gifts on Kurtas & Pyjamas, No need to use the coupon code, Click the link to get landing page.","Up 76% Off & Get Free","","Kurtas & Pyjamas","76% Off & Get","","","No need to use the coupon code"
"8","100-4-114749","Upto 42% Off on Televisions","Shop for the television Sets here from the various brands like Mitashi, I Grasp and many more, No need to use the coupon code, Click the link to get landing page.","use the coupon code","","get landing page."," Mitashi I Grasp and many more","","","No need to use the coupon code"
"9","100-4-119955","Upto 28% Off on Sewing Machines","Upto 28% Off  on Sewing Machines On brands like Novel,  Singer,  Usha, No need to use the coupon code, Click the link to get landing page.","Up 28% Off  on Sewing Machines","","get landing page."," Novel  Singer  Usha","","","No need to use the coupon code"
"10","100-4-120826","Upto 45% Off on Water Purifiers","Upto 45% Off  On Categories like Electrical Water Purifiers,  Water Purifier Accessories,  Non-Electrical Water Purifiers, No need to use the coupon code, Click the link to get landing page.","Up 45% Off  On Categories like","","get landing page."," Electrical Water Purifiers  Water Purifier Accessories  Non-Electrical Water Purifiers","","","No need to use the coupon code"
