"","Date.received","Product","Sub.product","Issue","Sub.issue","Consumer.complaint.narrative","Company.public.response","Company","State","ZIP.code","Tags","Consumer.consent.provided.","Submitted.via","Date.sent.to.company","Company.response.to.consumer","Timely.response.","Consumer.disputed.","Complaint.ID"
"1","7/29/2013","Consumer Loan","Vehicle loan","Managing the loan or lease","Other","Other","Other","Wells Fargo & Company","VA","24540","Other","Other","Phone","7/30/2013","Closed with explanation","Yes","No",468882
"2","7/29/2013","Bank account or service","Checking account","Using a debit or ATM card","Other","Other","Other","Wells Fargo & Company","CA","95992","Older American","Other","Web","7/31/2013","Closed with explanation","Yes","No",468889
"3","7/29/2013","Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","Santander Bank US","NY","10065","Other","Other","Fax","7/31/2013","Closed","Yes","No",468879
"4","7/29/2013","Bank account or service","Checking account","Deposits and withdrawals","Other","Other","Other","Wells Fargo & Company","GA","30084","Other","Other","Web","7/30/2013","Closed with explanation","Yes","No",468949
"5","7/29/2013","Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Franklin Credit Management","CT","6106","Other","Other","Web","7/30/2013","Closed with explanation","Yes","No",475823
"6","7/29/2013","Bank account or service","Checking account","Deposits and withdrawals","Other","Other","Other","Bank of America","TX","75025","Other","Other","Web","7/30/2013","Closed with explanation","Yes","No",468981
"7","7/29/2013","Debt collection","Other (i.e. phone, health club, etc.)","Cont'd attempts collect debt not owed","Debt is not mine","Other","Other","NRA Group, LLC","VA","20147","Other","Other","Web","8/7/2013","Closed with non-monetary relief","Yes","No",467801
"8","7/29/2013","Debt collection","I do not know","Cont'd attempts collect debt not owed","Debt was paid","Other","Other","SunTrust Banks, Inc.","FL","32818","Other","Other","Referral","8/1/2013","Closed with explanation","Yes","Yes",475728
"9","7/29/2013","Credit card","Other","Billing statement","Other","Other","Other","Citibank","OH","45247","Other","Other","Referral","7/30/2013","Closed with explanation","Yes","Yes",469026
"10","7/29/2013","Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Wells Fargo & Company","NV","89511","Other","Other","Referral","7/30/2013","Closed with explanation","Yes","Yes",469035
"11","7/29/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","NC","27949","Other","Other","Referral","7/30/2013","Closed with non-monetary relief","Yes","No",469037
"12","7/29/2013","Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","JPMorgan Chase & Co.","CA","90703","Other","Other","Referral","7/30/2013","Closed with explanation","Yes","No",469284
"13","7/29/2013","Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Citibank","CA","95821","Other","Other","Referral","7/31/2013","Closed with explanation","Yes","Yes",480488
"14","7/29/2013","Debt collection","Credit card","Communication tactics","Frequent or repeated calls","Other","Other","Asset Management Professionals, LLC","PA","19145","Older American","Other","Phone","8/1/2013","Closed with explanation","No","Other",468904
"15","7/29/2013","Debt collection","Credit card","Communication tactics","Frequent or repeated calls","Other","Other","Wells Fargo & Company","PA","19145","Older American","Other","Phone","8/1/2013","Closed with non-monetary relief","Yes","No",468905
"16","7/29/2013","Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","NY","14092","Other","Other","Phone","7/31/2013","Closed with explanation","Yes","No",469057
"17","7/29/2013","Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Ocwen","FL","33426","Other","Other","Web","7/31/2013","Closed with explanation","Yes","Yes",469060
"18","7/29/2013","Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","NY","10019","Other","Other","Web","7/30/2013","Closed with explanation","Yes","Yes",469070
"19","7/29/2013","Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Citibank","NJ","7604","Other","Other","Web","7/30/2013","Closed with explanation","Yes","No",472236
