Clinic,Street Address,Suite,Zip Code,County,State,Phone,Website,NHSC Certified,PCPCH Recognized,Clinic Type,Location 1
Adventist Health Fishers Landing,417 SE 164th Ave,Suite 300,98684,Clark,Washington,360-896-6944,https://www.adventisthealth.org/Pages/OHAM/OrgUnitDetails.aspx?OrganizationalUnitId=1879,,Yes,,
Adventist Health Hoodland Family Medicine ,24461 E Welches Rd,,97067,Clackamas,Oregon,503-622-3126,https://www.adventisthealth.org/nw/Pages/OHAM/OrgUnitDetails.aspx?OrganizationalUnitId=3056,,Yes,,
Adventist Health Resilience Center,10000 SE Main St,Suite 236,97216,Multnomah,Oregon,503-261-6625,https://www.adventisthealth.org/nw/Pages/OHAM/OrgUnitDetails.aspx?OrganizationalUnitId=3482,,Yes,,
Adventist Health Tillamook Medical Group,1000 Third Street,,97141,Tillamook,Oregon,503-842-5546,http://www.tillamookregionalmc.org/location/specialty-clinic,No,Yes,RHC,"1000 Third Street
Tillamook, OR 97141
(45.45634636400007, -123.85500914099998)"
Adventist Health Tillamook Medical Group Bay Ocean,1011 Third St,,97141,Tillamook,Oregon,503-815-2100,http://www.tillamookregionalmc.org/location/womens-and-family-health,No,Yes,RHC,"1011 Third St
Tillamook, OR 97141
(45.45629220700005, -123.85413916899995)"
Adventist Health Tillamook Medical Group - Manzanita,10445 Neahkahnie Creek Rd,,97130,Tillamook,Oregon,503-368-6244,http://www.tillamookregionalmc.org/location/manzanita-urgent-primary-and-specialty-care,No,Yes,RHC,"10445 Neahkahnie Creek Rd
Manzanita, OR 97130
(45.716828907000036, -123.93589963299996)"
Adventist Medical Center,10123 SE Market,,97216,Multnomah,Oregon,503-257-2300,http://www.adventisthealthnw.com/,No,No,Hospital,"10123 SE Market
Portland, OR 97216
(45.51154642500006, -122.55906313399998)"
Albina Head Start,3417 NE 7th Ave,,97212,Multnomah,Oregon,503-282-1975 ,http://www.albinahs.org,No,No,FQHC,"3417 NE 7th Ave
Portland, OR 97212
(45.548079520000044, -122.65865830799999)"
Alsea Rural Health Care,435 E Alder St,,97324,Benton,Oregon,541-487-7116,http://alseaclinic.org/,Yes,No,FQHC,"435 E Alder St
Alsea, OR 97324
(44.38262827600005, -123.59403228999997)"
Asante Physician Partners Family Medicine Ashland,628 N. Main St,,97520,Jackson,Oregon,541-201-4930,http://www.asante.org/Locations/location-detail/?id=1047,,Yes,,
Asante Physician Partners Family Medicine State Street,2859 State St,Suite 101,97540,Jackson,Oregon,541-282-6505,http://www.asante.org/Locations/location-detail/?id=1073,,Yes,,
